ticker,mean_loss,mean_accuracy,model_loss,model_accuracy
AAPL,1.914739086744926,0.9088757038116455,2.2606656837463377,1.0
AMZN,18.391440951867867,0.9261556267738342,19.8313313293457,0.9950000047683716
AXP,0.9327901111316951,0.8372622132301331,1.0552630710601807,0.9800000190734863
BA,3.573042781869321,0.8907527923583984,3.8325929260253906,0.9950000047683716
BAC,0.3100150277609358,0.9327778220176697,0.32646140575408933,0.9850000143051147
C,0.7508650644891236,0.928132951259613,0.7043124675750733,0.9850000143051147
F,0.14577957832901137,0.9108105301856995,0.09024471759796143,0.9350000023841858
FB,1.952850100674324,0.9162785410881042,2.199695701599121,0.9900000095367432
GE,0.2673420278975551,0.861611008644104,0.12198922514915467,0.9800000190734863
GOOG,14.5638348887215,0.9311342239379883,13.129492340087891,0.9800000190734863
GS,2.8150937490558987,0.9241029024124146,2.5029537200927736,0.9549999833106995
JPM,0.9619234418797225,0.9139096736907959,1.1923490238189698,0.9750000238418579
MS,0.5459273903597255,0.9179999828338623,0.4587860059738159,0.9649999737739563
MSFT,0.8941192433037601,0.8017841577529907,1.2015574264526367,0.33000001311302185
WFC,0.5937616493319029,0.9351242184638977,0.38521095752716067,0.9649999737739563
