ticker,lstmMAE,lstmMSE,arimaMAE,arimaMSE
AAPL,0.011807696670293808,0.000245,0.014426102763915562,0.0003427
AMZN,0.011611507460474969,0.0002312,0.01296511471867452,0.0002859
AXP,0.01362667612731457,0.0003001,0.01596971947037281,0.0003948
BA,0.015195247009396553,0.0004118,0.017696611717654475,0.0004833
BAC,0.011432432681322095,0.0002433,0.015085179887821175,0.0003816
C,0.014808643832802773,0.0003893,0.021439402290885704,0.000723
F,0.01462741320952773,0.0004574,0.02003183913754155,0.0007796
FB,0.015190889686346054,0.0004407,0.02182480544028321,0.0007753
GE,0.006093361210078,7.28e-05,0.00665434501104015,8.51e-05
GOOG,0.014952895119786263,0.0005539,0.021010694637022476,0.0009553
GS,0.015746545419096945,0.0004234,0.02004640728215224,0.000625
JPM,0.01170328125357628,0.00024,0.014382125585824182,0.0003343
MS,0.012107880413532257,0.0002525,0.015050254646864426,0.0003616
MSFT,0.010694628730416298,0.000209,0.013316172970310172,0.0002835
WFC,0.016902789101004602,0.000505,0.025804764092524014,0.0010333
