ticker,mean_mae,mae,mse
AAPL,0.011941979541916545,0.011807696670293808,0.0002449882449582219
AMZN,0.016669365282554926,0.011611507460474967,0.0002311607386218384
AXP,0.015447899187702355,0.013626676127314568,0.00030006651650182903
BA,0.012910744580206517,0.015195247009396553,0.0004118041251786053
BAC,0.016242747402281373,0.011432432681322097,0.00024333252804353833
C,0.02043086157865131,0.014808643832802773,0.0003893020621035248
F,0.025369866480840515,0.01462741320952773,0.00045741020585410297
FB,0.018780440329912922,0.015190889686346054,0.000440725008957088
GE,0.01639986634551263,0.006093361210078001,7.27993028704077e-05
GOOG,0.01708871788559119,0.014952895119786263,0.0005538691184483469
GS,0.022279610971942393,0.015746545419096945,0.0004233923100400716
JPM,0.014289797282499617,0.01170328125357628,0.00024004772421903908
MS,0.01917026564602739,0.012107880413532257,0.00025252881459891796
MSFT,0.010279007992535418,0.010694628730416298,0.00020899316587019712
WFC,0.026193722883073464,0.016902789101004602,0.0005050316685810685
